SYMBOL,SERIES,TIMESTAMP,ISIN
20MICRONS,EQ,2022-10-13,INE144J01027
21STCENMGM,EQ,2022-10-13,INE253B01015
3IINFOLTD,EQ,2022-10-13,INE748C01038
3MINDIA,EQ,2022-10-13,INE470A01017
3PLAND,EQ,2022-10-13,INE105C01023
4THDIM,EQ,2022-10-13,INE382T01022
5PAISA,EQ,2022-10-13,INE618L01018
63MOONS,EQ,2022-10-13,INE111B01023
A2ZINFRA,EQ,2022-10-13,INE619I01012
AAKASH,EQ,2022-10-13,INE087Z01024
AAREYDRUGS,EQ,2022-10-13,INE198H01019
AARON,BE,2022-10-13,INE721Z01010
AARTIDRUGS,EQ,2022-10-13,INE216A01030
AARTIIND,N3,2022-10-13,INE216A08027
AARTISURF,EQ,2022-10-13,INE001A01036
AARVEEDEN,W3,2022-10-13,INE001A13049
AARVI,EQ,2022-10-13,INE031A01017
AAVAS,N2,2022-10-13,INE031A07840
ABAN,N5,2022-10-13,INE031A07865
ABB,N8,2022-10-13,INE031A07AO5
ABBOTINDIA,N9,2022-10-13,INE031A07AT4
ABCAPITAL,ND,2022-10-13,INE031A07949
ABFRL,NE,2022-10-13,INE031A07AB2
ABMINTLLTD,EQ,2022-10-13,INE148I01020
ABSLAMC,NA,2022-10-13,INE148I07GL3
ACC,NC,2022-10-13,INE148I08231
ACCELYA,NE,2022-10-13,INE148I08256
ACCURACY,NF,2022-10-13,INE148I08272
ACE,NN,2022-10-13,INE148I07KH3
ACRYSIL,NY,2022-10-13,INE148I07KR2
ADANIENT,YA,2022-10-13,INE148I07LC2
ADANIGREEN,YC,2022-10-13,INE148I07LE8
ADANIPORTS,YK,2022-10-13,INE148I07LL3
ADANIPOWER,YV,2022-10-13,INE148I07LW0
ADANITRANS,YX,2022-10-13,INE148I07LZ3
ADFFOODS,YZ,2022-10-13,INE148I07MH9
ADL,EQ,2022-10-13,INE039A01010
ADORWELD,NH,2022-10-13,INE039A07801
ADROITINFO,EQ,2022-10-13,INE530B01024
ADSL,N6,2022-10-13,INE866I08279
ADVANIHOTR,N9,2022-10-13,INE866I07CK1
ADVENZYMES,NC,2022-10-13,INE866I08303
AEGISCHEM,NE,2022-10-13,INE530B08094
AETHER,NF,2022-10-13,INE530B08102
AFFLE,NL,2022-10-13,INE530B07161
AGARIND,NM,2022-10-13,INE530B07179
AGI,EQ,2022-10-13,INE053F01010
AGRITECH,N9,2022-10-13,INE053F07678
AGROPHOS,NA,2022-10-13,INE053F07686
AGSTRA,NB,2022-10-13,INE053F07710
AHLADA,ND,2022-10-13,INE053F07736
AHLEAST,NE,2022-10-13,INE053F07744
AHLUCONT,NI,2022-10-13,INE053F07827
AIAENG,NJ,2022-10-13,INE053F07835
AIRAN,NK,2022-10-13,INE053F07843
AIROLAM,NN,2022-10-13,INE053F07892
AJANTPHARM,NO,2022-10-13,INE053F07900
AJMERA,EQ,2022-10-13,INE774D01024
AJOONI,N2,2022-10-13,INE774D08MA6
AJRINFRA,EQ,2022-10-13,INE848E01016
AKASH,N5,2022-10-13,INE848E07559
AKG,N6,2022-10-13,INE848E07567
AKSHAR,EQ,2022-10-13,INE733E01010
AKSHARCHEM,N4,2022-10-13,INE733E07JH3
AKSHOPTFBR,N5,2022-10-13,INE733E07JI1
AKZOINDIA,N7,2022-10-13,INE733E07JP6
ALANKIT,NB,2022-10-13,INE733E07JU6
ALBERTDAVD,ND,2022-10-13,INE733E07JW2
ALEMBICLTD,EQ,2022-10-13,INE134E01011
ALICON,N3,2022-10-13,INE134E07588
ALKALI,N5,2022-10-13,INE134E07208
ALKEM,N6,2022-10-13,INE134E07422
ALKYLAMINE,N8,2022-10-13,INE134E07463
ALLCARGO,EQ,2022-10-13,INE511C01022
ALLSEC,N7,2022-10-13,INE511C07714
ALMONDZ,EQ,2022-10-13,INE020B01018
ALOKINDS,N1,2022-10-13,INE020B07GW6
ALPA,N2,2022-10-13,INE020B07GX4
ALPHAGEO,N3,2022-10-13,INE020B07GY2
ALPSINDUS,N5,2022-10-13,INE020B07HO1
AMARAJABAT,N8,2022-10-13,INE020B07HR4
AMBER,N9,2022-10-13,INE020B07HS2
AMBICAAGAR,NE,2022-10-13,INE020B07IF7
AMBIKCO,NH,2022-10-13,INE020B07JU4
AMBUJACEM,NI,2022-10-13,INE020B07GH7
AMDIND,BE,2022-10-13,INE217K01011
AMIORG,N6,2022-10-13,INE217K07AG5
AMJLAND,N8,2022-10-13,INE217K08289
AMRUTANJAN,EQ,2022-10-13,INE721A01013
ANANDRATHI,YH,2022-10-13,INE721A07NT3
ANANTRAJ,YI,2022-10-13,INE721A07NU1
ANDHRAPAP,YK,2022-10-13,INE721A07NW7
ANDHRSUGAR,YL,2022-10-13,INE721A07NX5
ANDREWYU,YO,2022-10-13,INE721A07OB9
ANGELONE,YR,2022-10-13,INE721A07OE3
ANIKINDS,YS,2022-10-13,INE721A07OF0
ANKITMETAL,YV,2022-10-13,INE721A07OM6
ANMOL,YY,2022-10-13,INE721A07OP9
ANSALAPI,YZ,2022-10-13,INE721A07OQ7
ANTGRAPHIC,ZD,2022-10-13,INE721A07PI1
ANUP,ZF,2022-10-13,INE721A07PK7
ANURAS,ZI,2022-10-13,INE721A07PN1
APARINDS,EQ,2022-10-13,INE583D01011
APCL,N1,2022-10-13,INE583D07174
APCOTEXIND,N4,2022-10-13,INE583D07265
APEX,N5,2022-10-13,INE583D07299
APLAPOLLO,N7,2022-10-13,INE583D07315
APLLTD,EQ,2022-10-13,INE767A01016
APOLLO,EQ,2022-10-13,INE769A01020
APOLLOHOSP,EQ,2022-10-13,INE09EO01013
APOLLOPIPE,EQ,2022-10-13,INE273D01019
APOLLOTYRE,EQ,2022-10-13,INE754X01016
APOLSINHOT,EQ,2022-10-13,INE216P01012
APTECHT,EQ,2022-10-13,INE421A01028
APTUS,EQ,2022-10-13,INE117A01022
ARCHIDPLY,EQ,2022-10-13,INE358A01014
ARCHIES,EQ,2022-10-13,INE674K01013
ARENTERP,EQ,2022-10-13,INE647O01011
ARIES,BE,2022-10-13,INE251C01025
ARIHANTCAP,EQ,2022-10-13,INE404A01024
ARIHANTSUP,EQ,2022-10-13,INE012A01025
ARMANFIN,EQ,2022-10-13,INE793A01012
AROGRANITE,EQ,2022-10-13,INE648Z01015
ARROWGREEN,EQ,2022-10-13,INE731H01025
ARSHIYA,EQ,2022-10-13,INE482D01024
ARSSINFRA,EQ,2022-10-13,INE423A01024
ARTEMISMED,EQ,2022-10-13,INE364U01010
ARTNIRMAN,EQ,2022-10-13,INE742F01042
ARVEE,BE,2022-10-13,INE814H01011
ARVIND,EQ,2022-10-13,INE931S01010
ARVINDFASN,EQ,2022-10-13,INE982B01019
ARVSMART,BE,2022-10-13,INE0CHO01012
ASAHIINDIA,EQ,2022-10-13,INE045A01017
ASAHISONG,EQ,2022-10-13,INE737B01033
ASAL,EQ,2022-10-13,INE102I01027
ASALCBR,EQ,2022-10-13,INE199C01026
ASHAPURMIN,EQ,2022-10-13,INE837H01020
ASHIANA,EQ,2022-10-13,INE208C01025
ASHIMASYN,EQ,2022-10-13,INE0BWX01014
ASHOKA,EQ,2022-10-13,INE00WC01027
ASHOKLEY,EQ,2022-10-13,INE204E01012
ASIANENE,EQ,2022-10-13,INE415A01038
ASIANHOTNR,EQ,2022-10-13,INE449G01018
ASIANPAINT,EQ,2022-10-13,INE740V01019
ASIANTILES,EQ,2022-10-13,INE583L01014
ASPINWALL,BE,2022-10-13,INE00PV01013
ASTEC,BE,2022-10-13,INE926K01017
ASTERDM,EQ,2022-10-13,INE758C01029
ASTRAL,EQ,2022-10-13,INE212H01026
ASTRAMICRO,EQ,2022-10-13,INE645W01026
ASTRAZEN,EQ,2022-10-13,INE801L01010
ASTRON,EQ,2022-10-13,INE031B01049
ATFL,EQ,2022-10-13,INE298G01027
ATGL,EQ,2022-10-13,INE820Y01021
ATLANTA,EQ,2022-10-13,INE181G01025
ATUL,EQ,2022-10-13,INE737W01013
ATULAUTO,BE,2022-10-13,INE00Y801016
AUBANK,EQ,2022-10-13,INE256Z01017
AURIONPRO,EQ,2022-10-13,INE542B01011
AUROPHARMA,EQ,2022-10-13,INE523B01011
AURUM,EQ,2022-10-13,INE133A01011
AUSOMENT,EQ,2022-10-13,INE914E01040
AUTOAXLES,EQ,2022-10-13,INE155C01010
AUTOIND,EQ,2022-10-13,INE426A01027
AVADHSUGAR,EQ,2022-10-13,INE062D01024
AVANTIFEED,EQ,2022-10-13,INE773I01017
AVROIND,EQ,2022-10-13,INE540L01014
AVTNPL,EQ,2022-10-13,INE150B01039
AWHCL,EQ,2022-10-13,INE418H01029
AWL,EQ,2022-10-13,INE835G01018
AXISBANK,EQ,2022-10-13,INE326B01027
AXISCADES,BE,2022-10-13,INE270A01029
AXITA,EQ,2022-10-13,INE385I01010
AYMSYNTEX,EQ,2022-10-13,INE137C01018
BAFNAPH,EQ,2022-10-13,INE093B01015
BAGFILMS,EQ,2022-10-13,INE885A01032
BAJAJ-AUTO,EQ,2022-10-13,INE371P01015
BAJAJCON,BE,2022-10-13,INE792B01012
BAJAJELEC,EQ,2022-10-13,INE540G01014
BAJAJFINSV,EQ,2022-10-13,INE079A01024
BAJAJHCARE,BE,2022-10-13,INE005I01014
BAJAJHIND,EQ,2022-10-13,INE00FF01017
BAJAJHLDNG,EQ,2022-10-13,INE606A01024
BAJFINANCE,EQ,2022-10-13,INE098F01031
BALAJITELE,EQ,2022-10-13,INE463V01026
BALAMINES,EQ,2022-10-13,INE242C01024
BALAXI,EQ,2022-10-13,INE435A01028
BALKRISHNA,EQ,2022-10-13,INE715B01021
BALKRISIND,EQ,2022-10-13,INE449C01025
BALMLAWRIE,EQ,2022-10-13,INE732I01013
BALPHARMA,EQ,2022-10-13,INE087B01017
BALRAMCHIN,EQ,2022-10-13,INE106I01010
BANARBEADS,EQ,2022-10-13,INE02AR01019
BANARISUG,BE,2022-10-13,INE436A01026
BANCOINDIA,EQ,2022-10-13,INE414B01021
BANDHANBNK,EQ,2022-10-13,INE294Z01018
BANG,EQ,2022-10-13,INE930P01018
BANKA,EQ,2022-10-13,INE372A01015
BANKBARODA,EQ,2022-10-13,INE071F01012
BANKINDIA,EQ,2022-10-13,INE116A01032
BANSWRAS,EQ,2022-10-13,INE346W01013
BARBEQUE,EQ,2022-10-13,INE702C01027
BARTRONICS,EQ,2022-10-13,INE901L01018
BASF,EQ,2022-10-13,INE713T01010
BASML,EQ,2022-10-13,INE437A01024
BATAINDIA,EQ,2022-10-13,INE126J01016
BAYERCROP,EQ,2022-10-13,INE438A01022
BBL,EQ,2022-10-13,INE451F01024
BBOX,EQ,2022-10-13,INE266F01018
BBTC,EQ,2022-10-13,INE852O01025
BCG,EQ,2022-10-13,INE877I01016
BCLIND,EQ,2022-10-13,INE731A01020
BCONCEPTS,EQ,2022-10-13,INE610C01014
BCP,EQ,2022-10-13,INE298I01015
BDL,EQ,2022-10-13,INE420B01036
BEARDSELL,EQ,2022-10-13,INE643K01018
BECTORFOOD,EQ,2022-10-13,INE109C01017
BEDMUTHA,EQ,2022-10-13,INE210C01013
BEL,BE,2022-10-13,INE570D01018
BEML,EQ,2022-10-13,INE968D01022
BEPL,BE,2022-10-13,INE267I01010
BERGEPAINT,EQ,2022-10-13,INE025R01021
BESTAGRO,EQ,2022-10-13,INE738V01013
BFINVEST,EQ,2022-10-13,INE006Z01016
BFUTILITIE,EQ,2022-10-13,INE034A01011
BGRENERGY,EQ,2022-10-13,INE955V01021
BHAGCHEM,EQ,2022-10-13,INE034S01021
BHAGERIA,EQ,2022-10-13,INE439A01020
BHAGYANGR,EQ,2022-10-13,INE228I01012
BHAGYAPROP,EQ,2022-10-13,INE900C01027
BHANDARI,EQ,2022-10-13,INE073G01016
BHARATFORG,EQ,2022-10-13,INE348A01023
BHARATGEAR,EQ,2022-10-13,INE365D01021
BHARATRAS,EQ,2022-10-13,INE440A01010
BHARATWIRE,EQ,2022-10-13,INE442H01029
BHARTIARTL,EQ,2022-10-13,INE208A01029
BHEL,EQ,2022-10-13,INE276G01015
BIGBLOC,EQ,2022-10-13,INE363A01022
BIL,EQ,2022-10-13,INE021A01026
BINDALAGRO,EQ,2022-10-13,INE022I01019
BIOCON,EQ,2022-10-13,INE991I01015
BIOFILCHEM,EQ,2022-10-13,INE563J01010
BIRLACABLE,EQ,2022-10-13,INE914M01019
BIRLACORPN,EQ,2022-10-13,INE006I01046
BIRLAMONEY,EQ,2022-10-13,INE386C01029
BKMINDST,EQ,2022-10-13,INE203A01020
BLBLIMITED,EQ,2022-10-13,INE646X01014
BLISSGVS,EQ,2022-10-13,INE209A01019
BLKASHYAP,EQ,2022-10-13,INE399L01023
BLS,EQ,2022-10-13,INE285H01022
BLUEDART,EQ,2022-10-13,INE100A01010
BLUESTARCO,EQ,2022-10-13,INE951D01028
BODALCHEM,EQ,2022-10-13,INE949L01017
BOMDYEING,EQ,2022-10-13,INE132H01018
BOROLTD,EQ,2022-10-13,INE406A01037
BORORENEW,BE,2022-10-13,INE898S01029
BOSCHLTD,EQ,2022-10-13,INE218C01016
BPCL,EQ,2022-10-13,INE449A01011
BPL,EQ,2022-10-13,INE718H01014
BRIGADE,EQ,2022-10-13,INE349W01017
BRNL,EQ,2022-10-13,INE488D01021
BROOKS,EQ,2022-10-13,INE01BK01022
BSE,EQ,2022-10-13,INE699H01024
BSHSL,EQ,2022-10-13,INE238A01034
BSL,EQ,2022-10-13,INE555B01013
BSOFT,EQ,2022-10-13,INE02EZ01014
BURNPUR,EQ,2022-10-13,INE193B01039
BUTTERFLY,BE,2022-10-13,INE878I01022
BVCL,BE,2022-10-13,INE116D01028
BYKE,EQ,2022-10-13,INE917I01010
CALSOFT,EQ,2022-10-13,INE933K01021
CAMLINFINE,EQ,2022-10-13,INE193E01025
CAMPUS,EQ,2022-10-13,INE918I01026
CAMS,EQ,2022-10-13,INE411U01027
CANBK,EQ,2022-10-13,INE306A01021
CANDC,EQ,2022-10-13,INE118A01012
CANFINHOME,EQ,2022-10-13,INE296A01024
CANTABIL,EQ,2022-10-13,INE794B01026
CAPACITE,EQ,2022-10-13,INE050E01027
CAPLIPOINT,BE,2022-10-13,INE618N01014
CAPTRUST,EQ,2022-10-13,INE875R01011
CARBORUNIV,EQ,2022-10-13,INE787D01026
CAREERP,EQ,2022-10-13,INE164A01016
CARERATING,EQ,2022-10-13,INE083D01012
CARTRADE,EQ,2022-10-13,INE119A01028
CASTROLIND,EQ,2022-10-13,INE655B01011
CCCL,EQ,2022-10-13,INE459A01010
CCHHL,EQ,2022-10-13,INE213C01025
CCL,EQ,2022-10-13,INE545U01014
CDSL,EQ,2022-10-13,INE863I01016
CEATLTD,EQ,2022-10-13,INE862Y01015
CELEBRITY,EQ,2022-10-13,INE028A01039
CENTENKA,EQ,2022-10-13,INE084A01016
CENTEXT,EQ,2022-10-13,INE629D01020
CENTRALBK,EQ,2022-10-13,INE382M01027
CENTRUM,BZ,2022-10-13,INE855F01034
CENTUM,EQ,2022-10-13,INE373A01013
CENTURYPLY,EQ,2022-10-13,INE186H01022
CENTURYTEX,EQ,2022-10-13,INE176A01028
CERA,EQ,2022-10-13,INE462A01022
CEREBRAINT,EQ,2022-10-13,INE464A01028
CESC,EQ,2022-10-13,INE676A01027
CGCL,EQ,2022-10-13,INE050A01025
CGPOWER,EQ,2022-10-13,INE425B01027
CHALET,EQ,2022-10-13,INE412G01016
CHAMBLFERT,BE,2022-10-13,INE977Y01011
CHEMBOND,EQ,2022-10-13,INE905P01028
CHEMCON,EQ,2022-10-13,INE171Z01018
CHEMFAB,EQ,2022-10-13,INE520H01022
CHEMPLASTS,EQ,2022-10-13,INE495P01012
CHENNPETRO,EQ,2022-10-13,INE844K01012
CHEVIOT,EQ,2022-10-13,INE263A01024
CHOICEIN,EQ,2022-10-13,INE258A01016
CHOLAFIN,EQ,2022-10-13,INE922A01025
CHOLAHLDNG,EQ,2022-10-13,INE463A01038
CIGNITITEC,EQ,2022-10-13,INE052T01013
CINELINE,EQ,2022-10-13,INE878K01010
CINEVISTA,EQ,2022-10-13,INE243D01012
CIPLA,EQ,2022-10-13,INE661I01014
CLEAN,EQ,2022-10-13,INE414D01019
CLEDUCATE,EQ,2022-10-13,INE354C01027
CLNINDIA,EQ,2022-10-13,INE458B01036
CLSEL,EQ,2022-10-13,INE363W01018
CMICABLES,EQ,2022-10-13,INE474E01029
CMSINFO,EQ,2022-10-13,INE465A01025
COALINDIA,EQ,2022-10-13,INE561C01019
COASTCORP,EQ,2022-10-13,INE838B01013
COCHINSHIP,EQ,2022-10-13,INE316L01019
COFFEEDAY,EQ,2022-10-13,INE397D01024
COFORGE,EQ,2022-10-13,INE257A01026
COLPAL,EQ,2022-10-13,INE412U01025
COMPINFO,EQ,2022-10-13,INE828A01016
COMPUSOFT,EQ,2022-10-13,INE143A01010
CONCOR,EQ,2022-10-13,INE376G01013
CONFIPET,EQ,2022-10-13,INE829A01014
CONSOFINVT,EQ,2022-10-13,INE800A01015
CONTROLPR,EQ,2022-10-13,INE340A01012
CORALFINAC,EQ,2022-10-13,INE865C01022
CORDSCABLE,BZ,2022-10-13,INE831Q01016
COROMANDEL,EQ,2022-10-13,INE791A01024
COSMOFIRST,EQ,2022-10-13,INE416D01022
COUNCODOS,EQ,2022-10-13,INE350H01032
CRAFTSMAN,EQ,2022-10-13,INE153T01027
CREATIVE,EQ,2022-10-13,INE233B01017
CREATIVEYE,EQ,2022-10-13,INE472A01039
CREDITACC,EQ,2022-10-13,INE338D01028
CREST,EQ,2022-10-13,INE032A01023
CRISIL,EQ,2022-10-13,INE02PY01013
CROMPTON,EQ,2022-10-13,INE666D01022
CROWN,EQ,2022-10-13,INE323A01026
CSBBANK,EQ,2022-10-13,INE029A01011
CSLFINANCE,EQ,2022-10-13,INE110A01019
CTE,EQ,2022-10-13,INE791I01019
CUB,EQ,2022-10-13,INE727S01012
CUBEXTUB,BE,2022-10-13,INE650L01011
CUMMINSIND,EQ,2022-10-13,INE118H01025
CUPID,BE,2022-10-13,INE032Z01020
CYBERMEDIA,EQ,2022-10-13,INE594B01012
CYBERTECH,EQ,2022-10-13,INE836A01035
CYIENT,EQ,2022-10-13,INE817H01014
DAAWAT,EQ,2022-10-13,INE295F01017
DABUR,BE,2022-10-13,INE139I01011
DALBHARAT,EQ,2022-10-13,INE319B01014
DALMIASUG,EQ,2022-10-13,INE526B01014
DAMODARIND,EQ,2022-10-13,INE052I01032
DANGEE,EQ,2022-10-13,INE278Y01022
DATAMATICS,EQ,2022-10-13,INE596I01012
DATAPATTNS,EQ,2022-10-13,INE476A01014
DBCORP,BZ,2022-10-13,INE874H01015
DBL,EQ,2022-10-13,INE477A01020
DBOL,EQ,2022-10-13,INE068L01016
DBREALTY,EQ,2022-10-13,INE264T01014
DBSTOCKBRO,EQ,2022-10-13,INE475E01026
DCAL,EQ,2022-10-13,INE707C01018
DCBBANK,EQ,2022-10-13,INE120A01034
DCM,EQ,2022-10-13,INE521J01018
DCMFINSERV,EQ,2022-10-13,INE752H01013
DCMNVL,EQ,2022-10-13,INE290S01011
DCMSHRIRAM,EQ,2022-10-13,INE172A01027
DCMSRIND,BE,2022-10-13,INE429I01024
DCW,BE,2022-10-13,INE652F01027
DECCANCE,EQ,2022-10-13,INE421D01022
DEEPAKFERT,EQ,2022-10-13,INE736A01011
DEEPAKNTR,EQ,2022-10-13,INE482A01020
DEEPENR,EQ,2022-10-13,INE185H01016
DEEPINDS,EQ,2022-10-13,INE485A01015
DELHIVERY,BE,2022-10-13,INE281A01026
DELPHIFX,EQ,2022-10-13,INE483A01010
DELTACORP,EQ,2022-10-13,INE660C01027
DELTAMAGNT,EQ,2022-10-13,INE320B01020
DEN,EQ,2022-10-13,INE348B01021
DENORA,EQ,2022-10-13,INE055A01016
DEVIT,EQ,2022-10-13,INE739E01017
DEVYANI,EQ,2022-10-13,INE345B01019
DFMFOODS,EQ,2022-10-13,INE486A01021
DGCONTENT,EQ,2022-10-13,INE180C01026
DHAMPURSUG,EQ,2022-10-13,INE067A01029
DHANBANK,EQ,2022-10-13,INE427F01016
DHANI,EQ,2022-10-13,INE085A01013
DHANUKA,EQ,2022-10-13,INE995D01025
DHARAMSI,EQ,2022-10-13,INE03YM01018
DHARSUGAR,EQ,2022-10-13,INE783X01023
DHRUV,EQ,2022-10-13,INE488A01050
DHUNINV,EQ,2022-10-13,INE178A01016
DIAMONDYD,EQ,2022-10-13,INE974B01016
DICIND,EQ,2022-10-13,INE102B01014
DIGISPICE,EQ,2022-10-13,INE121A01024
DIL,EQ,2022-10-13,INE149A01033
DISHTV,EQ,2022-10-13,INE675C01017
DIVISLAB,EQ,2022-10-13,INE704H01022
DIXON,EQ,2022-10-13,INE039B01026
DLF,EQ,2022-10-13,INE059A01026
DLINKINDIA,EQ,2022-10-13,INE227W01023
DMART,EQ,2022-10-13,INE201M01029
DNAMEDIA,EQ,2022-10-13,INE492A01029
DODLA,EQ,2022-10-13,INE419D01026
DOLATALGO,EQ,2022-10-13,INE981B01011
DOLLAR,EQ,2022-10-13,INE925R01014
DONEAR,EQ,2022-10-13,INE522F01014
DPABHUSHAN,EQ,2022-10-13,INE377E01016
DPSCLTD,EQ,2022-10-13,INE704P01017
DPWIRES,EQ,2022-10-13,INE335K01011
DRCSYSTEMS,EQ,2022-10-13,INE591G01017
DREAMFOLKS,EQ,2022-10-13,INE259A01022
DREDGECORP,EQ,2022-10-13,INE070C01037
DRREDDY,EQ,2022-10-13,INE453B01029
DSSL,EQ,2022-10-13,INE111A01025
DTIL,EQ,2022-10-13,INE552D01024
DUCON,EQ,2022-10-13,INE025A01027
DVL,EQ,2022-10-13,INE663B01015
DWARKESH,EQ,2022-10-13,INE558D01021
DYCL,EQ,2022-10-13,INE792I01017
DYNAMATECH,EQ,2022-10-13,INE169A01031
DYNPRO,EQ,2022-10-13,INE757A01017
E2E,EQ,2022-10-13,INE695B01025
EASEMYTRIP,EQ,2022-10-13,INE00LO01017
EASTSILK,EQ,2022-10-13,INE985W01018
ECLERX,EQ,2022-10-13,INE230B01021
EDELWEISS,EQ,2022-10-13,INE741K01010
EICHERMOT,EQ,2022-10-13,INE559D01011
EIDPARRY,EQ,2022-10-13,INE007A01025
EIFFL,EQ,2022-10-13,INE299U01018
EIHAHOTELS,EQ,2022-10-13,INE491V01019
EIHOTEL,EQ,2022-10-13,INE679A01013
EIMCOELECO,EQ,2022-10-13,INE718F01018
EKC,EQ,2022-10-13,INE627H01017
ELDEHSG,EQ,2022-10-13,INE491A01021
ELECON,EQ,2022-10-13,INE144D01012
ELECTCAST,EQ,2022-10-13,INE298A01020
ELECTHERM,EQ,2022-10-13,INE509F01011
